Total Population,Food available,Current Year,Disaster year
655,183302,354,False
672,185300,355,False
685,187325,356,False
701,189399,357,False
718,191511,358,False
725,193656,359,False
734,195857,360,False
755,198102,361,False
765,200372,362,False
784,202678,363,False
796,205022,364,False
811,207431,365,False
830,209906,366,False
840,212426,367,False
855,214986,368,False
873,217603,369,False
886,220277,370,False
903,222999,371,False
913,225791,372,False
925,228631,373,False
957,231509,374,False
970,234474,375,False
985,237479,376,False
1009,240555,377,False
1013,243677,378,True
1019,246778,379,True
1035,249933,380,False
1059,253149,381,False
1081,256408,382,False
1087,259761,383,False
1104,263147,384,False
1125,266562,385,False
1148,270054,386,False
1165,273564,387,False
1187,277142,388,False
1204,280763,389,False
1211,284467,390,False
1232,288245,391,False
1257,292058,392,False
1283,295930,393,False
1305,299895,394,False
1338,303932,395,False
1359,308053,396,False
1385,312263,397,False
1390,316518,398,True
1414,320819,399,False
1444,325190,400,False
1472,329598,401,True
1506,334122,402,False
1542,338705,403,False
1569,343391,404,False
1601,348140,405,False
1636,352954,406,False
1668,357801,407,False
1713,362733,408,False
1745,367763,409,False
1771,372962,410,True
1799,378278,411,False
1847,383721,412,False
1882,389279,413,False
1908,394951,414,False
1922,400759,415,False
1952,406657,416,True
1967,412715,417,True
2003,418877,418,False
2045,425112,419,False
2096,431446,420,False
2121,437890,421,True
2151,444439,422,False
2185,451069,423,False
2215,457789,424,False
2266,464633,425,False
2325,471568,426,False
2361,478627,427,False
2401,485851,428,False
2450,493241,429,False
2484,500782,430,False
2531,508426,431,False
2585,516201,432,False
2631,524055,433,False
2675,532075,434,False
2728,540327,435,False
2791,548681,436,False
2846,557165,437,False
2910,565775,438,False
2969,574506,439,False
3018,583373,440,False
3071,592452,441,False
3117,601735,442,False
3161,611204,443,False
3221,620838,444,False
3271,630677,445,False
3334,640718,446,False
3397,651036,447,False
3452,661604,448,False
3520,672349,449,False
3585,683299,450,False
3662,694392,451,False
3726,705616,452,True
3797,717029,453,True
3869,728600,454,False
3942,740393,455,True
4026,752322,456,False
4121,764446,457,False
4179,776792,458,True
4252,789365,459,False
4340,802245,460,False
4414,815356,461,False
4485,828716,462,True
4572,842309,463,False
4656,856198,464,False
4746,870442,465,False
4838,884984,466,False
4921,899793,467,False
5022,914831,468,False
5100,930171,469,False
5188,945808,470,False
5297,961771,471,False
5415,978056,472,False
5543,994633,473,False
5651,1011512,474,False
5791,1028686,475,False
5900,1046126,476,False
6007,1063934,477,False
6087,1082062,478,False
6215,1100482,479,False
6375,1119297,480,False
6500,1138497,481,False
6637,1158160,482,False
6747,1178173,483,False
6903,1198715,484,False
7025,1219585,485,False
7167,1240823,486,False
7296,1262307,487,False
7433,1284204,488,False
7578,1306606,489,False
7724,1329427,490,False
7875,1352737,491,False
8017,1376525,492,False
8188,1400932,493,False
8335,1425762,494,False
8477,1451120,495,True
8642,1476908,496,False
8841,1503257,497,False
9010,1530142,498,False
9190,1557577,499,False
9347,1585625,500,False
9531,1614129,501,False
9682,1643197,502,True
9858,1672824,503,False
10040,1703019,504,False
10248,1733776,505,False
10458,1765253,506,False
10659,1797284,507,False
10884,1829815,508,False
11090,1862905,509,False
11297,1896713,510,False
11539,1931099,511,False
11789,1966125,512,False
12009,2001786,513,False
12252,2038164,514,False
12491,2075263,515,False
12714,2113129,516,False
12950,2151859,517,False
13209,2191170,518,True
13450,2231225,519,False
13679,2272091,520,False
13955,2313761,521,False
14191,2356245,522,True
14475,2399645,523,False
14766,2443939,524,False
15075,2489069,525,True
15417,2534972,526,False
15730,2581877,527,False
16017,2629610,528,False
16361,2678244,529,False
16673,2727946,530,False
17011,2778430,531,False
17359,2829911,532,False
17654,2882382,533,False
17990,2935992,534,False
18340,2990812,535,False
18674,3046723,536,False
19025,3103713,537,False
19337,3161906,538,False
19681,3221140,539,False
20036,3281609,540,False
20430,3343399,541,False
20809,3406290,542,False
21217,3470358,543,False
21617,3535636,544,False
22037,3602069,545,False
22444,3669845,546,False
22847,3738748,547,False
23298,3808850,548,False
23758,3880212,549,False
24235,3952987,550,False
24696,4027166,551,False
25226,4102745,552,False
25696,4179749,553,False
26148,4258206,554,False
26643,4338043,555,False
27154,4419199,556,True
27693,4501786,557,False
28266,4585960,558,False
28813,4671912,559,False
29398,4759504,560,False
29952,4848962,561,False
30467,4940115,562,False
31056,5032784,563,False
31619,5127250,564,False
32153,5223692,565,False
32749,5322088,566,False
33383,5422620,567,False
34017,5525033,568,False
34675,5629378,569,False
35326,5735712,570,False
36006,5843891,571,False
36717,5954124,572,False
37411,6066348,573,False
38158,6180400,574,False
38887,6296618,575,False
39614,6415109,576,False
40406,6535863,577,False
41192,6658961,578,False
41987,6784259,579,False
42789,6912055,580,False
43591,7042404,581,False
44404,7175400,582,False
45246,7310934,583,False
46151,7449073,584,False
46996,7589967,585,False
47895,7733662,586,False
48793,7880119,587,False
49759,8029430,588,False
50700,8181530,589,True
51689,8336286,590,False
52710,8493901,591,False
53733,8654493,592,False
54709,8818234,593,False
55697,8984837,594,False
56761,9154621,595,False
57848,9327533,596,False
58933,9503950,597,False
60014,9683871,598,False
61113,9867518,599,False
62251,10054722,600,True
63434,10245663,601,False
64676,10440097,602,False
65901,10637991,603,True
67177,10839634,604,False
68343,11045271,605,False
69612,11254729,606,True
70967,11467867,607,False
72299,11684623,608,False
73710,11905403,609,False
75069,12130349,610,False
76459,12359670,611,False
77934,12593486,612,False
79411,12831500,613,False
80902,13073668,614,False
82438,13320465,615,False
84034,13572131,616,False
85610,13828736,617,False
87370,14090301,618,False
89027,14356644,619,False
90749,14628200,620,True
92476,14904969,621,False
94225,15187194,622,False
96018,15474601,623,False
97921,15767480,624,False
99715,16066130,625,False
101719,16370206,626,False
