Total Population,Food available,Current Year,Disaster year
63105,8429439,323,False
64529,8617875,324,False
65911,8810824,325,False
67364,9008150,326,False
68829,9209816,327,False
70377,9415869,328,False
71863,9626756,329,False
73470,9842166,330,False
75101,10062570,331,False
76763,10287557,332,False
78390,10517747,333,False
80093,10752939,334,False
81812,10993247,335,False
83648,11238704,336,False
85463,11489701,337,False
87320,11746081,338,False
89227,12008409,339,False
91224,12276545,340,False
93171,12550829,341,False
95302,12830697,342,False
97380,13116582,343,False
99535,13408562,344,False
101760,13707067,345,False
